phase,condition,step_size,rec_gain,rec_low,rec_high,ground_gain,ground_low,ground_high
sft,uniform,0.0007332609174273394,0.00015266379341483116,1.0816368740051986e-05,0.0003016931586898863,0.0002769497223198414,0.00020245101768523455,0.0003519307472743093
sft,atoms_uniform,0.0007332609174273394,0.0013964800164103508,0.0010152603266760708,0.001778460876084864,0.0008009606972336769,0.0006397822522558272,0.0009678789530880749
sft,atoms_optimized,0.0007332609174273394,0.006677601486444473,0.005746142810676247,0.0075894630048424,0.004949233029037714,0.0043253748212009665,0.0056105450843460854
sft,atoms_optimized_matched,0.0007332609174273394,0.0002088090404868126,-0.0003222939325496554,0.0007550036418251692,0.0007305489853024483,0.0005203266628086567,0.0009524344117380676
sft,atoms_AB,0.0007332609174273394,0.0014975001104176044,0.0007554162526503206,0.0022252889350056647,-0.00026653148233890533,-0.0005751168704591691,3.109390381723552e-05
sft,atoms_A,0.0007332609174273394,0.0017830198630690575,0.0009090884821489453,0.002641408680938184,-0.00038986513391137123,-0.0007355885114520788,-5.4523814469576356e-05
sft,atoms_B,0.0007332609174273394,-4.9085356295108795e-06,-0.0005786852329038083,0.0005626169382594526,0.00037692347541451454,-4.7992938198149206e-05,0.0008149308618158101
sft,atoms_AB_matched,0.0007332609174273394,0.00035968516021966934,-0.00015869031194597482,0.0008499690331518636,4.60292212665081e-05,-0.00013840760802850128,0.0002238267101347445
sft,random_atoms_AB,0.0007332609174273394,0.003068446647375822,0.00020034868502989415,0.005755091994069516,-0.0002041528932750225,-0.0007406772812828422,0.0003219407983124251
sft,raw_clusters_optimized,0.0007332609174273394,-0.00014735525473952293,-0.0002745924051851034,-1.5694298781454634e-05,0.00023887446150183678,0.00016726440517231823,0.00031241932883858676
sft,tasks_AB,0.0007332609174273394,0.000622874591499567,0.0005419599241577089,0.0007125164847820996,0.00041588814929127693,0.00031613910105079415,0.0005148254218511284
sft,raw_pool_optimized,0.0007332609174273394,0.02241691993549466,0.01939849016489461,0.025394301116466518,0.017322682309895754,0.013880229217465966,0.020684273284859955
rl,uniform,0.0007332609174273394,-0.0004023113287985325,-0.0004382255137898028,-0.0003674213658086956,-0.00021432992070913315,-0.00023507395526394247,-0.00019419672898948195
rl,atoms_uniform,0.0007332609174273394,-0.0007963692769408226,-0.0009079261915758252,-0.0007090236758813263,-0.0003790734335780144,-0.0004236163105815649,-0.0003354453016072512
rl,atoms_optimized,0.0007332609174273394,9.012501686811447e-05,2.6430329307913782e-05,0.00015214723534882066,0.0002432321198284626,0.00016310154460370542,0.000329418946057558
rl,atoms_optimized_matched,0.0007332609174273394,-5.6844670325517654e-05,-0.00010249689221382141,-9.828747715801021e-06,6.05299137532711e-05,1.7877866048365833e-05,0.00010541400406509634
rl,atoms_AB,0.0007332609174273394,9.012501686811447e-05,2.6430329307913782e-05,0.00015214723534882066,0.0002432321198284626,0.00016310154460370542,0.000329418946057558
rl,atoms_A,0.0007332609174273394,-0.0013413792476058006,-0.00204045973950997,-0.000930265325587243,-0.0006404835730791092,-0.0007786845089867711,-0.0005011377041228116
rl,atoms_B,0.0007332609174273394,9.012501686811447e-05,2.6430329307913782e-05,0.00015214723534882066,0.0002432321198284626,0.00016310154460370542,0.000329418946057558
rl,atoms_AB_matched,0.0007332609174273394,-5.6844670325517654e-05,-0.00010249689221382141,-9.828747715801021e-06,6.05299137532711e-05,1.7877866048365833e-05,0.00010541400406509634
rl,random_atoms_AB,0.0007332609174273394,9.026611223816872e-05,-9.172945283353324e-07,0.00018255827017128466,0.00010901270434260368,4.475886235013604e-05,0.00017566524911671877
rl,raw_clusters_optimized,0.0007332609174273394,-0.0003201575018465519,-0.0003460007603280246,-0.00029267950449138883,-0.00017656246200203896,-0.00019457951420918108,-0.0001590726082213223
rl,tasks_AB,0.0007332609174273394,-8.241971954703331e-05,-0.0001016923226416111,-6.31580594927073e-05,-0.00018006982281804085,-0.00020446027629077433,-0.0001554500311613083
rl,raw_pool_optimized,0.0007332609174273394,0.003615856170654297,0.0032155523775145413,0.004063846601638943,0.003704594448208809,0.0032517117797397077,0.004172732378356158
rl,transfer_atoms_A,0.0007332609174273394,-0.00021214177832007408,-0.0002728459774516523,-0.00014847179409116515,-0.00012402236461639404,-0.00016170302405953406,-8.701706537976863e-05
rl,transfer_atoms_B,0.0007332609174273394,-0.00025301333516836166,-0.00029964711284264923,-0.00020725689828395846,-0.00013015558943152428,-0.00016475215088576078,-9.553220588713885e-05
rl,transfer_atoms_AB,0.0007332609174273394,-0.000218923669308424,-0.00027070151409134267,-0.00016552621964365246,-0.0001249951310455799,-0.00015826845774427056,-9.36004682444036e-05
rl,transfer_atoms_AB_matched,0.0007332609174273394,-0.00037933094426989555,-0.0004203705349937081,-0.0003359768888913095,-0.00016671232879161835,-0.00018833886133506894,-0.00014541373820975423
